Date,SP,Bond
4/1/2024,5109.50,111.02
3/1/2024,5308.50,114.61
2/1/2024,5165.25,113.98
1/1/2024,4925.25,116.88
12/1/2023,4871.50,118.02
11/1/2023,4576.75,113.27
10/1/2023,4212.25,108.83
9/1/2023,4325.50,111.56
8/1/2023,4516.00,115.58
7/1/2023,4614.50,116.98
6/1/2023,4488.25,118.44
5/1/2023,4190.50,119.39
4/1/2023,4188.50,121.45
3/1/2023,4137.75,121.14
2/1/2023,3975.50,117.23
1/1/2023,4090.00,121.20
12/1/2022,3861.00,118.28
11/1/2022,4081.25,119.52
10/1/2022,3883.00,115.98
9/1/2022,3601.50,118.48
8/1/2022,3956.50,125.88
7/1/2022,4133.50,131.25
6/1/2022,3789.50,127.38
5/1/2022,4131.25,129.67
4/1/2022,4127.50,129.00
3/1/2022,4530.75,135.47
2/1/2022,4368.00,142.19
1/1/2022,4504.25,142.83
12/1/2021,4758.50,146.44
11/1/2021,4566.25,146.89
10/1/2021,4597.00,145.03
9/1/2021,4297.75,145.25
8/1/2021,4520.50,149.86
7/1/2021,4389.50,150.25
6/1/2021,4288.50,147.20
5/1/2021,4202.50,146.59
4/1/2021,4174.50,145.55
3/1/2021,3967.50,143.69
2/1/2021,3809.25,148.88
1/1/2021,3705.25,153.83
12/1/2020,3748.75,156.36
11/1/2020,3623.25,157.72
10/1/2020,3264.75,157.28
9/1/2020,3352.00,159.92
8/1/2020,3499.00,157.31
7/1/2020,3263.50,159.25
6/1/2020,3090.25,157.48
5/1/2020,3042.00,157.17
